 primalDim  primalFOM  dualDim  dualFOM  sameProj 
      3    0.136995      2    0.189208    0
      3    0.163048      4    0.242271    0
      2    0.145708      2    0.145708    2
      3    0.136995      4    0.187663    0
      2    0.131703      2    0.131703    2
      4    0.0877353      3    0.13726    0
      2    0.146522      2    0.146522    2
      4    0.207339      3    0.106321    0
      3    0.136995      4    0.157668    0
      3    0.0334174      2    0.131703    0
      3    0.145839      3    0.0290843    3
      2    0.145708      2    0.145708    2
      3    0.10243      2    0.146522    0
      4    0.0511319      3    0.0769498    0
      2    0.0651613      2    0.0651613    2
      3    0.153821      4    0.216694    0
      3    0.176153      3    0.130659    0
      2    0.182903      4    0.13139    0
      2    0.0651613      2    0.0651613    2
      4    0.0811371      3    0.0673578    0
      2    0.131703      2    0.131703    2
      4    0.118696      3    0.145421    0
      2    0.0651613      2    0.0651613    2
      2    0.025608      2    0.025608    2
      2    0.145708      3    0.101511    0
      2    0.248447      3    0.220978    0
      2    0.146522      2    0.146522    2
      3    0.118505      3    0.132992    0
      2    0.0651613      2    0.0651613    2
      2    0.0957518      2    0.0957518    2
      3    0.120945      3    0.179502    0
      2    0.131703      2    0.131703    2
      3    0.219      4    0.193103    0
      4    0.148931      3    0.0613847    0
      3    0.147466      3    0.149335    0
      2    0.136395      2    0.136395    2
      2    0.0872112      2    0.0872112    2
      3    0.188226      3    0.169589    0
      2    0.0651613      2    0.0651613    2
      3    0.127003      3    0.0769498    0
      3    0.157876      3    0.18991    0
      2    0.136007      2    0.136007    2
      4    0.166362      3    0.155639    0
      2    0.207566      3    0.173179    0
      3    0.134283      3    0.126775    3
      2    0.108983      2    0.108983    2
      2    0.0651613      2    0.0651613    2
      3    0.0553836      3    0.0902849    0
      2    0.069557      2    0.069557    2
      4    0.141495      3    0.194906    0
      3    0.144831      4    0.143931    0
      3    0.112279      2    0.139981    0
      3    0.177867      3    0.179073    0
      2    0.025608      2    0.025608    2
      2    0.146522      4    0.0910298    0
      3    0.0747868      3    0.0568312    3
      2    0.214233      4    0.164106    0
      4    0.17168      4    0.187663    0
      2    0.0651613      2    0.0651613    2
      2    0.0641651      2    0.0641651    2
      2    0.0957518      2    0.0957518    2
      2    0.178813      3    0.176478    0
      4    0.145485      3    0.179502    0
      3    0.171451      3    0.115674    0
      3    0.0769568      4    0.123255    0
      4    0.179558      3    0.0868111    0
      3    0.180094      4    0.164106    0
      2    0.166372      4    0.143931    0
      3    0.188067      3    0.177564    0
      3    0.0768837      3    0.146213    0
      2    0.207566      3    0.158333    0
      3    0.111527      4    0.21186    0
      3    0.204463      3    0.165922    0
      3    0.153734      3    0.167536    0
      2    0.0872112      2    0.0872112    2
      3    0.118955      4    0.133992    0
      4    0.146266      3    0.176695    0
      4    0.193897      4    0.150956    4
      2    0.0651613      2    0.0651613    2
      3    0.124684      3    0.197843    0
      4    0.167314      3    0.0769498    0
      2    0.20332      3    0.120557    0
      4    0.234165      3    0.18991    0
      3    0.174969      4    0.164106    0
      3    0.0929227      2    0.136007    0
      2    0.0700008      2    0.0700008    2
      4    0.194953      3    0.115341    0
      3    0.185753      2    0.196674    0
      4    0.202952      3    0.184571    0
      3    0.222896      4    0.111488    0
      2    0.1325      2    0.1325    2
      4    0.156587      3    0.123394    0
      2    0.0621844      2    0.0621844    2
      3    0.118009      4    0.185814    0
      4    0.279911      4    0.208575    0
      2    0.156083      3    0.143826    0
      3    0.11991      3    0.180783    0
      2    0.0995618      2    0.0995618    2
      3    0.162427      2    0.215507    0
      4    0.212747      3    0.177564    0
      3    0.212244      4    0.219858    0
      2    0.152691      2    0.152691    2
      4    0.23865      4    0.180153    0
      3    0.102453      4    0.153226    0
      2    0.139981      3    0.108823    0
      2    0.125249      2    0.125249    2
      2    0.248447      3    0.182476    0
      2    0.123255      2    0.123255    2
      3    0.183614      3    0.0915536    3
      4    0.114854      4    0.0830984    0
      2    0.146522      2    0.146522    2
      3    0.110389      4    0.170301    0
      2    0.0872112      2    0.0872112    2
      3    0.103723      4    0.101774    0
      2    0.0402443      2    0.0402443    2
      3    0.177904      3    0.114673    0
      4    0.165768      2    0.194484    0
      2    0.0471348      2    0.0471348    2
      2    0.0651613      2    0.0651613    2
      2    0.0963709      2    0.0963709    2
      2    0.0641651      2    0.0641651    2
      4    0.184677      2    0.206808    0
      2    0.0957518      2    0.0957518    2
